N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
23.0,에코프로머티,198800.0,6200.0,-3.02%,500.0,6652.0,6349.0,390.0
24.0,HMM,19430.0,2670.0,-12.08%,5000.0,185828.0,259735.0,99516.0
25.0,카카오뱅크,27050.0,350.0,-1.28%,5000.0,16058.0,395161.0,3532.0
26.0,삼성에스디에스,166500.0,1200.0,-0.72%,500.0,172347.0,119524.0,9161.0
27.0,SK,175900.0,1300.0,-0.73%,200.0,1345516.0,1945059.0,80047.0
28.0,하나금융지주,43200.0,200.0,+0.47%,5000.0,708438.0,5688732.0,46903.0
29.0,KT&G,91100.0,300.0,-0.33%,5000.0,58514.0,123017.0,12676.0
30.0,삼성화재,256000.0,1000.0,+0.39%,500.0,257844.0,882243.0,16061.0
31.0,한국전력,18650.0,30.0,-0.16%,5000.0,712579.0,2348050.0,-326552.0
32.0,메리츠금융지주,58500.0,600.0,+1.04%,500.0,703656.0,927572.0,22009.0
33.0,삼성전기,149900.0,500.0,-0.33%,5000.0,94246.0,109972.0,11828.0
34.0,SK텔레콤,49950.0,50.0,-0.10%,100.0,173050.0,313083.0,16121.0
35.0,포스코인터내셔널,61000.0,1800.0,+3.04%,5000.0,379896.0,125163.0,9025.0
36.0,HD현대중공업,120700.0,1800.0,-1.47%,5000.0,90455.0,162894.0,-2892.0
37.0,고려아연,498000.0,3000.0,-0.60%,5000.0,112194.0,120979.0,9192.0
38.0,두산에너빌리티,15650.0,260.0,-1.63%,5000.0,154211.0,230498.0,11061.0
39.0,크래프톤,206500.0,2500.0,-1.20%,100.0,18540.0,60303.0,7516.0
40.0,우리금융지주,12990.0,0.0,0.00%,5000.0,423727.0,4804744.0,44305.0
41.0,하이브,231500.0,3000.0,-1.28%,500.0,17762.0,48704.0,2369.0
42.0,기업은행,11830.0,30.0,+0.25%,5000.0,275361.0,4319797.0,37748.0
43.0,KT,35550.0,400.0,-1.11%,5000.0,256500.0,409807.0,16901.0
44.0,대한항공,23450.0,150.0,-0.64%,5000.0,140961.0,289977.0,28306.0
45.0,아모레퍼시픽,136300.0,300.0,+0.22%,500.0,41349.0,58018.0,2142.0
46.0,HD한국조선해양,110800.0,1900.0,-1.69%,5000.0,173020.0,298835.0,-3556.0
47.0,S-Oil,69600.0,200.0,-0.29%,2500.0,424460.0,196131.0,34052.0
48.0,두산로보틱스,118500.0,3300.0,-2.71%,500.0,450.0,626.0,-132.0
49.0,한화오션,24300.0,1200.0,-4.71%,5000.0,48602.0,122357.0,-16136.0
50.0,SK스퀘어,51000.0,100.0,-0.20%,100.0,45107.0,221606.0,1628.0
51.0,SK바이오팜,90100.0,2500.0,-2.70%,500.0,2462.0,6642.0,-1311.0
52.0,현대글로비스,183000.0,1400.0,-0.76%,500.0,269819.0,138778.0,17985.0
53.0,롯데케미칼,158200.0,400.0,-0.25%,5000.0,222761.0,267846.0,-7626.0
54.0,TIGER CD금리투자KIS(합성),53535.0,20.0,+0.04%,0.0,,,
55.0,삼성중공업,7550.0,120.0,-1.56%,1000.0,59447.0,144917.0,-8544.0
56.0,금양,113300.0,2400.0,-2.07%,500.0,2131.0,2828.0,132.0
57.0,카카오페이,47800.0,500.0,-1.04%,500.0,5217.0,33315.0,-455.0
58.0,한화에어로스페이스,126200.0,900.0,-0.71%,5000.0,65396.0,151573.0,3772.0
59.0,한화솔루션,37050.0,650.0,-1.72%,5000.0,136539.0,238317.0,9662.0
60.0,KODEX 200,34865.0,305.0,-0.87%,0.0,,,
61.0,KODEX CD금리액티브(합성),1021120.0,105.0,+0.01%,0.0,,,
62.0,DB손해보험,82200.0,300.0,-0.36%,500.0,228608.0,644966.0,13331.0
63.0,SK아이이테크놀로지,81100.0,1500.0,-1.82%,1000.0,5858.0,34973.0,-523.0
64.0,한미반도체,58300.0,400.0,-0.68%,100.0,3276.0,4554.0,1119.0
65.0,LG이노텍,236000.0,2000.0,-0.84%,5000.0,195894.0,97936.0,12718.0
66.0,LG생활건강,354500.0,4000.0,-1.12%,5000.0,71858.0,73029.0,7111.0
67.0,한국타이어앤테크놀로지,44600.0,600.0,-1.33%,500.0,83942.0,125814.0,7058.0
68.0,맥쿼리인프라,12560.0,10.0,+0.08%,0.0,,,
69.0,현대오토에버,199300.0,8800.0,+4.62%,500.0,27545.0,26194.0,1424.0
70.0,삼성엔지니어링,27550.0,450.0,-1.61%,5000.0,100543.0,78487.0,7029.0
71.0,엔씨소프트,242000.0,3500.0,+1.47%,500.0,25718.0,44376.0,5590.0
72.0,SK바이오사이언스,69000.0,1200.0,-1.71%,500.0,4567.0,21419.0,1150.0
73.0,넷마블,59900.0,500.0,+0.84%,100.0,26734.0,89356.0,-1087.0
74.0,TIGER KOFR금리액티브(합성),103795.0,5.0,0.00%,0.0,,,
75.0,유한양행,65500.0,100.0,-0.15%,1000.0,17758.0,24727.0,360.0
76.0,HD현대,63300.0,900.0,-1.40%,1000.0,608497.0,655709.0,33870.0
77.0,두산밥캣,49600.0,600.0,-1.20%,500.0,86219.0,92484.0,10716.0
78.0,코스모신소재,152300.0,2200.0,-1.42%,1000.0,4856.0,4513.0,325.0
79.0,한국항공우주,49700.0,450.0,+0.91%,5000.0,27869.0,77724.0,1416.0
80.0,CJ제일제당,315500.0,2000.0,-0.63%,5000.0,300795.0,300132.0,16647.0
81.0,한진칼,70000.0,1800.0,-2.51%,2500.0,2003.0,39151.0,145.0
82.0,KODEX KOFR금리액티브(합성),105255.0,10.0,+0.01%,0.0,,,
83.0,현대제철,35000.0,350.0,-0.99%,5000.0,273406.0,368010.0,16165.0
84.0,미래에셋증권,7610.0,30.0,-0.39%,5000.0,191608.0,1062133.0,8356.0
85.0,오리온,114700.0,0.0,0.00%,500.0,28732.0,33717.0,4667.0
86.0,LG유플러스,10380.0,40.0,-0.38%,5000.0,139060.0,197748.0,10813.0
87.0,LG디스플레이,12230.0,260.0,-2.08%,5000.0,261518.0,356860.0,-20850.0
88.0,코웨이,56700.0,200.0,-0.35%,500.0,38561.0,43651.0,6774.0
89.0,한미약품,329000.0,3000.0,-0.90%,2500.0,13315.0,19246.0,1581.0
90.0,현대차2우B,113900.0,100.0,+0.09%,5000.0,,,
91.0,금호석유,139200.0,700.0,-0.50%,5000.0,79756.0,77193.0,11477.0
92.0,GS,42650.0,100.0,+0.24%,5000.0,287770.0,339222.0,50051.0
93.0,현대건설,34700.0,200.0,-0.57%,5000.0,212391.0,209117.0,5749.0
94.0,한온시스템,7090.0,0.0,0.00%,100.0,86277.0,90988.0,2566.0
95.0,삼성카드,32400.0,50.0,-0.15%,5000.0,37946.0,296232.0,8489.0
96.0,삼성증권,40700.0,50.0,-0.12%,5000.0,134869.0,538483.0,5781.0
97.0,강원랜드,16650.0,0.0,0.00%,500.0,12707.0,41678.0,2176.0
98.0,한국금융지주,62800.0,500.0,-0.79%,5000.0,250281.0,863086.0,5458.0
99.0,SKC,90900.0,1000.0,-1.09%,5000.0,31389.0,63931.0,2203.0
100.0,NH투자증권,10240.0,30.0,-0.29%,5000.0,115357.0,534283.0,5214.0
101.0,F&F,87800.0,1400.0,-1.57%,100.0,18089.0,15702.0,5249.0
102.0,한화시스템,16830.0,240.0,+1.45%,5000.0,21880.0,39456.0,240.0
103.0,현대미포조선,77400.0,1200.0,-1.53%,5000.0,37169.0,47482.0,-1091.0
104.0,HD현대일렉트릭,83900.0,600.0,-0.71%,5000.0,21045.0,24350.0,1330.0
105.0,LS,93400.0,1000.0,+1.08%,5000.0,174913.0,168140.0,6709.0
106.0,LIG넥스원,136600.0,900.0,-0.65%,5000.0,22208.0,30127.0,1791.0
107.0,롯데지주,28400.0,50.0,+0.18%,200.0,141119.0,221754.0,4898.0
108.0,현대로템,26500.0,250.0,-0.93%,5000.0,31633.0,48239.0,1475.0
109.0,쌍용C&E,5740.0,30.0,+0.53%,100.0,19650.0,38743.0,2209.0
110.0,CJ,98100.0,1400.0,-1.41%,5000.0,409249.0,482404.0,21542.0
111.0,KODEX 종합채권(AA-이상)액티브,109305.0,50.0,+0.05%,0.0,,,
112.0,CJ대한통운,121900.0,3400.0,-2.71%,5000.0,121307.0,96933.0,4118.0
113.0,씨에스윈드,65900.0,700.0,-1.05%,500.0,13749.0,17795.0,421.0
114.0,현대해상,30800.0,0.0,0.00%,500.0,203844.0,522276.0,8080.0
115.0,현대차우,112800.0,0.0,0.00%,5000.0,,,
116.0,키움증권,100700.0,500.0,-0.49%,5000.0,89424.0,480373.0,6564.0
117.0,DB하이텍,58900.0,600.0,-1.01%,5000.0,16753.0,21227.0,7687.0
118.0,TIGER 미국나스닥100,96640.0,1015.0,-1.04%,0.0,,,
119.0,호텔신라,65400.0,400.0,-0.61%,5000.0,49220.0,29385.0,783.0
120.0,한미사이언스,36650.0,350.0,-0.95%,500.0,10461.0,11097.0,676.0
121.0,한솔케미칼,224500.0,4500.0,+2.05%,5000.0,8855.0,12533.0,1860.0
122.0,KODEX 24-12 은행채(AA+이상)액티브,10130.0,0.0,0.00%,0.0,,,
123.0,농심,408500.0,1000.0,-0.24%,5000.0,31291.0,30347.0,1122.0
124.0,GS리테일,23650.0,200.0,-0.84%,1000.0,112264.0,98324.0,2451.0
125.0,LG화학우,320500.0,4000.0,-1.23%,5000.0,,,
126.0,한전기술,63000.0,500.0,-0.79%,200.0,5053.0,8165.0,139.0
127.0,한화생명,2765.0,25.0,-0.90%,5000.0,337014.0,1612355.0,7147.0
128.0,아모레G,28900.0,300.0,-1.03%,500.0,44950.0,76510.0,2719.0
129.0,에스원,61900.0,400.0,-0.64%,500.0,24680.0,20757.0,2041.0
130.0,휠라홀딩스,38050.0,350.0,-0.91%,1000.0,42218.0,48218.0,4351.0
131.0,BNK금융지주,7140.0,40.0,-0.56%,5000.0,75756.0,1369664.0,11589.0
132.0,제일기획,19970.0,30.0,-0.15%,200.0,42534.0,27514.0,3114.0
133.0,한국가스공사,24850.0,200.0,-0.80%,5000.0,517243.0,624250.0,24634.0
134.0,BGF리테일,131900.0,1900.0,-1.42%,1000.0,76158.0,29462.0,2524.0
135.0,롯데쇼핑,78400.0,700.0,-0.88%,5000.0,154760.0,317036.0,3862.0
136.0,LS ELECTRIC,73000.0,200.0,-0.27%,5000.0,33771.0,33228.0,1875.0
137.0,OCI홀딩스,109400.0,400.0,+0.37%,5000.0,46713.0,67455.0,9767.0
138.0,TIGER 미국S&P500,15350.0,165.0,-1.06%,0.0,,,
139.0,이마트,76900.0,700.0,-0.90%,5000.0,293324.0,332017.0,1357.0
140.0,팬오션,3980.0,20.0,-0.50%,1000.0,64203.0,75489.0,7896.0
141.0,영원무역,46950.0,150.0,-0.32%,500.0,39110.0,45136.0,8230.0
142.0,KODEX 200TR,11935.0,115.0,-0.95%,0.0,,,
143.0,JB금융지주,10500.0,10.0,+0.10%,5000.0,31171.0,598282.0,8258.0
144.0,KODEX 레버리지,17430.0,285.0,-1.61%,0.0,,,
145.0,KCC,224500.0,3000.0,-1.32%,5000.0,67748.0,131185.0,4677.0
146.0,TIGER 200,34905.0,305.0,-0.87%,0.0,,,
147.0,이수페타시스,30600.0,950.0,-3.01%,1000.0,6429.0,5460.0,1166.0
148.0,한화,25650.0,250.0,-0.97%,5000.0,622784.0,2111753.0,25161.0
149.0,롯데에너지머티리얼즈,40700.0,800.0,-1.93%,500.0,7294.0,24303.0,848.0
150.0,TIGER 차이나전기차SOLACTIVE,7230.0,10.0,-0.14%,0.0,,,
151.0,동서,18520.0,160.0,-0.86%,500.0,5565.0,16279.0,392.0
152.0,HL만도,38550.0,300.0,+0.78%,1000.0,75162.0,58458.0,2481.0
153.0,한올바이오파마,34100.0,650.0,-1.87%,500.0,1100.0,2135.0,15.0
154.0,현대엘리베이,45200.0,1150.0,-2.48%,5000.0,21293.0,30145.0,430.0
155.0,신세계,177100.0,1400.0,-0.78%,5000.0,78128.0,143484.0,6454.0
156.0,현대위아,63700.0,300.0,+0.47%,5000.0,82076.0,75465.0,2121.0
157.0,대우건설,4145.0,35.0,-0.84%,5000.0,104192.0,111404.0,7600.0
158.0,효성첨단소재,383500.0,5000.0,-1.29%,5000.0,38414.0,29347.0,3151.0
159.0,한국앤컴퍼니,18000.0,300.0,+1.69%,500.0,10959.0,43018.0,2452.0
160.0,에스엘,36350.0,750.0,+2.11%,500.0,41745.0,29316.0,1979.0
161.0,삼양식품,220000.0,4500.0,-2.00%,5000.0,9090.0,9249.0,904.0
162.0,삼아알미늄,112000.0,2200.0,-1.93%,500.0,3121.0,2882.0,226.0
163.0,종근당,131100.0,1600.0,-1.21%,2500.0,14883.0,11249.0,1099.0
164.0,TIGER 미국테크TOP10 INDXX,14905.0,85.0,-0.57%,0.0,,,
165.0,효성티앤씨,377000.0,2500.0,-0.66%,5000.0,88827.0,43199.0,1236.0
166.0,하이트진로,23250.0,200.0,-0.85%,5000.0,24976.0,33334.0,1906.0
167.0,KG모빌리티,8710.0,60.0,-0.68%,5000.0,34233.0,20019.0,-1120.0
168.0,HD현대인프라코어,8100.0,70.0,-0.86%,1000.0,47561.0,47367.0,3325.0
169.0,한전KPS,35850.0,0.0,0.00%,200.0,14291.0,15620.0,1306.0
170.0,KBSTAR 머니마켓액티브,51355.0,15.0,+0.03%,0.0,,,
171.0,오뚜기,396500.0,3000.0,-0.75%,5000.0,31833.0,35698.0,1857.0
172.0,동원산업,34000.0,500.0,-1.45%,1000.0,90263.0,70612.0,4944.0
173.0,금호타이어,5480.0,40.0,-0.72%,5000.0,35592.0,46950.0,231.0
174.0,TIGER 미국필라델피아반도체나스닥,13990.0,310.0,-2.17%,0.0,,,
175.0,효성중공업,166600.0,2500.0,-1.48%,5000.0,35101.0,46935.0,1432.0
176.0,두산,93900.0,1200.0,-1.26%,5000.0,169958.0,263154.0,11260.0
177.0,롯데정밀화학,59700.0,400.0,-0.67%,5000.0,24638.0,27098.0,4043.0
178.0,TCC스틸,58200.0,400.0,-0.68%,1000.0,6844.0,5075.0,440.0
179.0,덴티움,136000.0,3100.0,+2.33%,500.0,3559.0,6746.0,1257.0
180.0,두산퓨얼셀,22950.0,600.0,+2.68%,100.0,3121.0,10269.0,72.0
181.0,코스모화학,39100.0,550.0,-1.39%,1000.0,7182.0,8079.0,414.0
182.0,효성,67800.0,200.0,-0.29%,5000.0,37193.0,52673.0,649.0
183.0,DL이앤씨,36800.0,350.0,-0.94%,5000.0,74968.0,89747.0,4970.0
184.0,녹십자,121700.0,500.0,-0.41%,5000.0,17113.0,25255.0,813.0
185.0,코스맥스,125300.0,3200.0,+2.62%,500.0,16001.0,13965.0,531.0
186.0,DGB금융지주,8370.0,10.0,-0.12%,5000.0,72746.0,910107.0,6072.0
187.0,LX세미콘,86800.0,600.0,-0.69%,500.0,21193.0,12896.0,3106.0
188.0,KODEX 200선물인버스2X,2365.0,40.0,+1.72%,0.0,,,
189.0,에스디바이오센서,11240.0,190.0,-1.66%,500.0,29320.0,32619.0,11466.0
190.0,SK가스,150800.0,1800.0,-1.18%,5000.0,80662.0,58318.0,3905.0
191.0,롯데칠성,148500.0,100.0,+0.07%,500.0,28417.0,36959.0,2229.0
192.0,SK네트웍스,5750.0,60.0,-1.03%,2500.0,96664.0,94993.0,1542.0
193.0,솔루엠,26850.0,850.0,-3.07%,500.0,16945.0,10343.0,756.0
194.0,대덕전자,27150.0,500.0,-1.81%,500.0,13162.0,11918.0,2325.0
195.0,TIGER 2차전지테마,27615.0,385.0,-1.37%,0.0,,,
196.0,GS건설,15450.0,60.0,-0.39%,5000.0,122992.0,169466.0,5548.0
197.0,TIGER TOP10,11530.0,125.0,-1.07%,0.0,,,
198.0,대웅제약,110400.0,1000.0,-0.90%,2500.0,12801.0,15633.0,958.0
199.0,한샘,53100.0,200.0,+0.38%,1000.0,20009.0,10997.0,-217.0
200.0,코오롱인더,44800.0,250.0,-0.55%,5000.0,53675.0,60035.0,2425.0
201.0,KODEX 삼성그룹,8950.0,75.0,-0.83%,0.0,,,
202.0,한국콜마,53700.0,100.0,+0.19%,500.0,18657.0,29333.0,733.0
203.0,KBSTAR 200,35065.0,305.0,-0.86%,0.0,,,
204.0,현대백화점,51900.0,400.0,-0.76%,5000.0,50141.0,120692.0,3209.0
205.0,대한전선,9750.0,80.0,+0.83%,1000.0,24505.0,16203.0,482.0
206.0,KODEX Top5PlusTR,19740.0,115.0,-0.58%,0.0,,,
207.0,LX인터내셔널,30700.0,300.0,+0.99%,5000.0,187595.0,77190.0,9655.0
208.0,롯데웰푸드,126000.0,1900.0,-1.49%,500.0,32033.0,41053.0,1124.0
209.0,코리안리,7160.0,30.0,-0.42%,500.0,125791.0,149781.0,1925.0
210.0,TIGER MSCI Korea TR,14670.0,150.0,-1.01%,0.0,,,
211.0,대웅,19870.0,70.0,+0.35%,500.0,16973.0,21589.0,2073.0
212.0,SK케미칼,66800.0,600.0,-0.89%,5000.0,18292.0,39457.0,2305.0
213.0,KODEX 2차전지산업,23815.0,280.0,-1.16%,0.0,,,
214.0,KBSTAR 종합채권(A-이상)액티브,101330.0,10.0,+0.01%,0.0,,,
215.0,후성,11920.0,160.0,-1.32%,500.0,6106.0,9338.0,1054.0
216.0,KODEX 단기채권PLUS,108930.0,40.0,+0.04%,0.0,,,
217.0,SK오션플랜트,18320.0,20.0,+0.11%,500.0,6918.0,12200.0,719.0
218.0,영원무역홀딩스,79500.0,500.0,-0.62%,500.0,45339.0,54902.0,10022.0
219.0,풍산,38650.0,100.0,+0.26%,5000.0,43730.0,33953.0,2316.0
220.0,KODEX 코스닥150레버리지,11120.0,270.0,-2.37%,0.0,,,
221.0,DL,51200.0,0.0,0.00%,5000.0,51750.0,120190.0,2875.0
222.0,SK리츠,3860.0,25.0,-0.64%,500.0,322.0,44322.0,197.0
223.0,대한유화,157900.0,2100.0,-1.31%,5000.0,22221.0,21958.0,-2146.0
224.0,롯데렌탈,27950.0,400.0,-1.41%,5000.0,27389.0,69272.0,3084.0
225.0,동원시스템즈,34800.0,300.0,-0.85%,5000.0,14370.0,14517.0,918.0
226.0,HD현대건설기계,50900.0,500.0,-0.97%,5000.0,35156.0,34486.0,1706.0
227.0,명신산업,18930.0,30.0,+0.16%,500.0,15152.0,9293.0,1269.0
228.0,HDC현대산업개발,14580.0,60.0,-0.41%,5000.0,32983.0,73363.0,1164.0
229.0,오리온홀딩스,15290.0,110.0,+0.72%,500.0,29346.0,51022.0,3998.0
230.0,삼성 인버스 2X 천연가스 선물 ETN C,95100.0,7210.0,+8.20%,0.0,,,
231.0,이수스페셜티케미컬,169800.0,2800.0,-1.62%,5000.0,,,
232.0,영풍,514000.0,4000.0,-0.77%,5000.0,44295.0,58719.0,689.0
233.0,TKG휴켐스,22850.0,100.0,-0.44%,1000.0,12358.0,9414.0,1171.0
234.0,세아제강지주,225000.0,7500.0,-3.23%,5000.0,39538.0,35721.0,5672.0
235.0,제주항공,11550.0,190.0,-1.62%,1000.0,7025.0,16636.0,-1775.0
236.0,해성디에스,54600.0,300.0,-0.55%,5000.0,8394.0,6596.0,2044.0
237.0,세아베스틸지주,25850.0,250.0,-0.96%,5000.0,43863.0,38184.0,1279.0
238.0,PI첨단소재,30850.0,50.0,+0.16%,500.0,2764.0,4990.0,521.0
239.0,한일시멘트,13060.0,40.0,-0.31%,500.0,14876.0,24608.0,1180.0
240.0,KG스틸,8970.0,270.0,+3.10%,5000.0,38197.0,30515.0,3404.0
241.0,한세실업,22300.0,50.0,-0.22%,500.0,22048.0,12392.0,1796.0
242.0,더블유게임즈,48700.0,600.0,+1.25%,500.0,6173.0,12356.0,1839.0
243.0,더존비즈온,29000.0,550.0,-1.86%,500.0,3043.0,8329.0,455.0
244.0,아이에스동서,28400.0,350.0,-1.22%,500.0,22784.0,37378.0,3451.0
245.0,일진하이솔루스,24000.0,50.0,-0.21%,500.0,1091.0,3425.0,28.0
246.0,이노션,21550.0,850.0,-3.79%,500.0,17504.0,22901.0,1369.0
247.0,미래에셋생명,4835.0,25.0,-0.51%,5000.0,33663.0,372500.0,880.0
248.0,세방전지,60800.0,900.0,-1.46%,500.0,14731.0,16770.0,811.0
249.0,하나투어,52500.0,700.0,-1.32%,500.0,1150.0,4554.0,-1012.0
250.0,GKL,13510.0,150.0,-1.10%,500.0,2621.0,6095.0,-139.0
251.0,JW중외제약,36550.0,700.0,-1.88%,2500.0,6844.0,6280.0,630.0
252.0,제이알글로벌리츠,4205.0,15.0,-0.36%,1000.0,573.0,20568.0,328.0
253.0,NHN,23550.0,100.0,-0.42%,500.0,21149.0,30252.0,391.0
254.0,TIGER 200 IT,32145.0,270.0,-0.83%,0.0,,,
255.0,율촌화학,33050.0,650.0,+2.01%,500.0,5089.0,6531.0,-46.0
256.0,드림텍,11920.0,20.0,+0.17%,100.0,13686.0,8254.0,967.0
257.0,다우기술,18250.0,200.0,-1.08%,500.0,92106.0,492600.0,7187.0
258.0,미원상사,168000.0,400.0,-0.24%,500.0,4382.0,4156.0,770.0
259.0,아시아나항공,10920.0,180.0,-1.62%,5000.0,62067.0,134553.0,5988.0
260.0,TIGER 2차전지소재Fn,9000.0,105.0,-1.15%,0.0,,,
261.0,솔루스첨단소재,23000.0,450.0,-1.92%,100.0,4612.0,14610.0,-452.0
262.0,넥센타이어,8260.0,200.0,-2.36%,500.0,25974.0,39443.0,-543.0
263.0,OCI,107500.0,1600.0,-1.47%,5000.0,,,
264.0,LG전자우,45800.0,200.0,-0.43%,5000.0,,,
265.0,ESR켄달스퀘어리츠,3680.0,20.0,+0.55%,1000.0,495.0,23777.0,261.0
266.0,롯데리츠,3210.0,5.0,+0.16%,500.0,587.0,23427.0,348.0
267.0,보령,11270.0,120.0,-1.05%,500.0,7605.0,8924.0,566.0
268.0,한국단자,73300.0,700.0,-0.95%,500.0,11681.0,12898.0,643.0
269.0,SK디스커버리,39950.0,100.0,-0.25%,5000.0,87171.0,117801.0,3622.0
270.0,애경케미칼,15500.0,360.0,-2.27%,500.0,21764.0,12341.0,951.0
271.0,녹십자홀딩스,15990.0,0.0,0.00%,500.0,20796.0,35921.0,712.0
272.0,대신증권,14360.0,10.0,+0.07%,5000.0,42313.0,212107.0,2535.0
273.0,비에이치,21100.0,50.0,-0.24%,500.0,16811.0,10073.0,1313.0
274.0,롯데손해보험,2335.0,40.0,-1.68%,1000.0,36130.0,179258.0,-765.0
275.0,DI동일,29150.0,550.0,+1.92%,500.0,9137.0,10003.0,448.0
276.0,대상,20800.0,150.0,-0.72%,1000.0,40841.0,31902.0,1400.0
277.0,KODEX 코스닥150,13775.0,125.0,-0.90%,0.0,,,
278.0,DN오토모티브,71100.0,500.0,-0.70%,500.0,31564.0,45916.0,4215.0
279.0,롯데관광개발,9310.0,280.0,-2.92%,500.0,1837.0,18028.0,-1187.0
280.0,동양생명,4355.0,55.0,-1.25%,5000.0,102796.0,374202.0,1299.0
281.0,TIGER 단기채권액티브,53080.0,10.0,+0.02%,0.0,,,
282.0,CJ CGV,5720.0,10.0,-0.17%,500.0,12813.0,36015.0,-768.0
283.0,한화투자증권,3245.0,35.0,-1.07%,5000.0,21143.0,121112.0,344.0
284.0,신풍제약,13070.0,110.0,-0.83%,500.0,2093.0,3615.0,-340.0
285.0,HSD엔진,9600.0,170.0,-1.74%,1000.0,7642.0,9562.0,-295.0
286.0,미원에스씨,137300.0,1300.0,+0.96%,500.0,6116.0,4757.0,809.0
287.0,태광산업,616000.0,4000.0,-0.65%,5000.0,27039.0,49100.0,-1221.0
288.0,KODEX 미국S&P500TR,13855.0,150.0,-1.07%,0.0,,,
289.0,KODEX 단기채권,108175.0,25.0,+0.02%,0.0,,,
290.0,ACE 미국S&P500,15510.0,165.0,-1.05%,0.0,,,
291.0,KODEX 자동차,18960.0,80.0,-0.42%,0.0,,,
292.0,LS전선아시아,21750.0,3520.0,+19.31%,500.0,8185.0,5067.0,275.0
293.0,TIGER 24-10 회사채(A+이상)액티브,53955.0,5.0,+0.01%,0.0,,,
294.0,대한해운,2080.0,90.0,-4.15%,500.0,16120.0,44903.0,2677.0
295.0,신세계인터내셔날,18540.0,140.0,+0.76%,1000.0,15539.0,12787.0,1153.0
296.0,동국제강,13330.0,230.0,+1.76%,5000.0,,,
297.0,SK디앤디,29700.0,250.0,-0.83%,1000.0,5634.0,21916.0,643.0
298.0,TIGER 단기통안채,105540.0,30.0,+0.03%,0.0,,,
299.0,경동나비엔,44950.0,0.0,0.00%,1000.0,11609.0,10180.0,598.0
300.0,KCC글라스,40550.0,100.0,-0.25%,1000.0,14437.0,22096.0,1192.0
301.0,KODEX 반도체,35205.0,355.0,-1.00%,0.0,,,
302.0,TIGER Fn반도체TOP10,10340.0,105.0,-1.01%,0.0,,,
303.0,SNT모티브,43250.0,250.0,-0.57%,5000.0,10449.0,12255.0,1119.0
304.0,동아쏘시오홀딩스,99200.0,1400.0,+1.43%,5000.0,10149.0,17315.0,379.0
305.0,ARIRANG 200,35475.0,285.0,-0.80%,0.0,,,
306.0,흥아해운,2615.0,40.0,+1.55%,500.0,1779.0,3171.0,297.0
307.0,F&F홀딩스,16060.0,50.0,-0.31%,500.0,18168.0,35951.0,4862.0
308.0,자화전자,28100.0,300.0,-1.06%,500.0,2923.0,5058.0,-117.0
309.0,동원F&B,32100.0,100.0,-0.31%,1000.0,40236.0,20717.0,1287.0
310.0,진에어,11820.0,120.0,-1.01%,1000.0,5934.0,7719.0,-673.0
311.0,ACE 미국30년국채액티브(H),9240.0,50.0,+0.54%,0.0,,,
312.0,삼양홀딩스,70800.0,200.0,-0.28%,5000.0,33168.0,45478.0,1323.0
313.0,현대지에프홀딩스,3730.0,15.0,-0.40%,500.0,39232.0,31851.0,600.0
314.0,삼성화재우,188100.0,100.0,-0.05%,500.0,,,
